s,p_c,Q_star,T_star,B_star,x_star,G_star,demand,cost_carbon_free,cost,emissions,h_eff
0.02,0.0,1643.6694679383459,5.478898226461153,423.41501921075877,0.257603506951947,0.0,300.0,7.300737912380693,7.300737912380693,21.78941564252089,0.05
0.02,0.5,1769.3480670688052,5.897826890229351,574.158616697083,0.3245029213772868,1.0,300.0,9.340340966126767,4.923238570192471,1.1657952081314051,0.55
0.02,2.0,2474.8722134026457,8.249574044675485,818.9685832213197,0.33091348263809484,2.5,300.0,12.139572310748031,-11.703794420155361,-1.9216833654516963,2.05
0.053793103448275856,0.0,1192.761534056499,3.97587178018833,224.12307485212145,0.18790266826420404,0.0,300.0,10.06068661452287,10.06068661452287,51.81556371399259,0.05
0.053793103448275856,0.5,1105.5565152450224,3.685188384150075,343.4691096087228,0.31067530684544004,1.0,300.0,14.006680091567727,11.03139290193652,4.049425620737589,0.55
0.053793103448275856,2.0,1519.4147407396852,5.064715802465617,496.71186405149234,0.32690999417952327,2.5,300.0,18.045601078110472,-2.5566666166001824,-0.3011338473553282,2.05
0.08758620689655172,0.0,1062.0978110972246,3.540326036990749,157.81401252614822,0.14858708009492536,0.0,300.0,11.298394436575592,11.298394436575592,71.4533246090875,0.05
0.08758620689655172,0.5,886.7796823400391,2.955932274466797,264.31101398426347,0.2980571378076662,1.0,300.0,16.831083678539652,15.048164649534474,6.434161941989643,0.55
0.08758620689655172,2.0,1198.8108257337512,3.9960360857791706,387.22766229116934,0.3230098143751417,2.5,300.0,22.01142390092184,3.77975884703541,0.8841674730567863,2.05
0.12137931034482759,0.0,998.2573314786717,3.3275244382622393,122.91816337994904,0.12313274293500666,0.0,300.0,12.020948528597291,12.020948528597291,84.95367521325247,0.05
0.12137931034482759,0.5,770.1500532288485,2.5671668440961617,220.64018090772612,0.28648985997299325,1.0,300.0,18.826356770567656,18.122068760542355,8.591423979949397,0.55
0.12137931034482759,2.0,1025.140411408129,3.4171347046937637,327.23383826893456,0.3192087977679539,2.5,300.0,25.099132217107993,8.867140636910868,1.8840042099014385,2.05
0.15517241379310343,0.0,960.1204898980754,3.200401632993585,101.03983530451258,0.10523662016132869,0.0,300.0,12.498431318004563,12.498431318004563,94.76155237986886,0.05
0.15517241379310343,0.5,695.7021472128165,2.319007157376055,191.90399985728976,0.2758421842251207,1.0,300.0,20.327593194792946,20.623141361016565,10.591096332447238,0.55
0.15517241379310343,2.0,912.6307642140454,3.0421025473801513,287.93776659676814,0.31550302475803477,2.5,300.0,27.647374087667863,13.19640199698187,2.774513954657004,2.05
0.18896551724137928,0.0,934.6786470173067,3.115595490057689,85.9330062286652,0.09193855717458586,0.0,300.0,12.838637149028369,12.838637149028369,102.20187306398834,0.05
0.18896551724137928,0.5,643.3231758655306,2.1444105862184353,171.12677607419764,0.26600436995599097,1.0,300.0,21.498300492784793,22.729716377826033,12.46283177008248,0.55
0.18896551724137928,2.0,832.3738394970196,2.7745794649900652,259.6080663876527,0.31188878610664483,2.5,300.0,29.818485142101032,16.999797496944232,3.590656177421601,2.05
0.22275862068965516,0.0,916.4650375599595,3.0548834585331983,74.83382230269476,0.0816548577804298,0.0,300.0,13.093789188018995,13.093789188018995,108.03832079740943,0.05
0.22275862068965516,0.5,604.1339676410211,2.013779892136737,155.19229279744718,0.2568839050772644,1.0,300.0,22.433026426266395,24.544716013544495,14.223379174556204,0.55
0.22275862068965516,2.0,771.5455263306812,2.5718184211022708,237.91576038164962,0.30836256871727347,2.5,300.0,31.7060662686298,20.409592689505885,4.351763210438042,2.05
0.25655172413793104,0.0,902.7682595012375,3.0092275316707915,66.31569085221729,0.07345815512926371,0.0,300.0,13.292447838861559,13.292447838861559,112.7391148245965,0.05
0.25655172413793104,0.5,573.5381980314169,1.9117939934380563,142.4681484570909,0.24840219700464808,1.0,300.0,23.192027984861966,26.13413459082981,15.884213211935688,0.55
0.25655172413793104,2.0,723.4746205088044,2.4115820683626814,220.6026355593692,0.30492104257122943,2.5,300.0,33.370307680565716,23.509865763752565,5.0697790415934225,2.05
0.2903448275862069,0.0,892.0865526061472,2.9736218420204907,59.56280903916021,0.06676797096106095,0.0,300.0,13.451609560690178,13.451609560690178,116.60662582716236,0.05
0.2903448275862069,0.5,548.8921137117321,1.829640379039107,132.00416590756683,0.24049200673503018,1.0,300.0,23.81621715973855,27.5433296003835,17.454224881289903,0.55
0.2903448275862069,2.0,684.3047115119571,2.2810157050398567,206.35964643987143,0.30156104870873107,2.5,300.0,34.85282881009066,26.358142826400787,5.752657008155063,2.05
0.32413793103448274,0.0,883.5194060943616,2.945064686981205,54.07296754698462,0.06120178818257845,0.0,300.0,13.582044624290223,13.582044624290223,119.84466079454793,0.05
0.32413793103448274,0.5,528.5559777060231,1.761853259020077,123.20398648544906,0.2330954367788339,1.0,300.0,24.334638525790762,28.805049529704505,18.940822007827485,0.55
0.32413793103448274,2.0,651.6318273749595,2.172106091249865,194.36847310014903,0.29827958815815525,2.5,300.0,36.183939108211234,28.99592029984602,6.405990595817395,2.05
0.3579310344827586,0.0,876.4934018490862,2.9216446728302876,49.5192495707092,0.05649700210662324,0.0,300.0,13.69091880747116,13.69091880747116,122.59555296500663,0.05
0.3579310344827586,0.5,511.4533463324474,1.7048444877748246,115.67148416617715,0.2261623371821485,1.0,300.0,24.76860869446051,29.94382584760705,20.35043430629308,0.55
0.3579310344827586,2.0,623.8697746751934,2.079565915583978,184.08763243430232,0.29507381172640434,2.5,300.0,37.386585351305136,31.454350268840457,7.0338824587676605,2.05
0.39172413793103444,0.0,870.6257705400885,2.902085901800295,45.67929525586376,0.05246719865359238,0.0,300.0,13.783189524192373,13.783189524192373,124.96170498998468,0.05
0.39172413793103444,0.5,496.8454792612186,1.6561515975373953,109.1316280017742,0.21964903084968557,1.0,300.0,25.1341820260278,30.978567535252594,21.688771018449586,0.55
0.39172413793103444,2.0,599.9244063602173,1.9997480212007244,175.1425374598721,0.2919410105724385,2.5,300.0,38.47867120528453,33.75756031649801,7.63944455560674,2.05
