regime,D1,G_star,R_star,demand,Q_star,T_star,cost,emissions,psi_star
cap_and_trade,0.0,1.0,2.5,300.0,836.793017857355,2.789310059524517,16.260695734639086,7.2478703192478875,nan
strict_cap,0.0,1.5553641796462236,3.4565136732753854,300.0,873.4736063394466,2.9115786877981553,18.949718845155854,5.00000000001431,0.6922159799105011
cap_and_trade,0.20689655172413793,0.9699090055215465,2.439365277068742,300.50469626422114,837.4965992526853,2.786966758470589,16.279008444361587,7.316701119410141,nan
strict_cap,0.20689655172413793,1.5475091724442136,3.445135197933154,300.7127865926758,875.3606358696848,2.910952493202047,18.977387849717665,4.999999838519808,0.6964920709275454
cap_and_trade,0.41379310344827586,0.9389489002930925,2.376034182198474,300.9831865581511,838.1631023135759,2.78475057659621,16.296847089454836,7.387796362960273,nan
strict_cap,0.41379310344827586,1.5396355018448868,3.433667766264082,301.4208280412127,877.2498240523704,2.9103822378605693,19.004975344192975,5.000000041553052,0.7008057525469572
cap_and_trade,0.6206896551724138,0.9070764615428342,2.309835531085968,301.4336910192947,838.790139046863,2.782668839075365,16.314192653276976,7.461299416273894,nan
strict_cap,0.6206896551724138,1.5317437409089958,3.422111778820045,302.1240693799573,879.1411994697474,2.9098681256147185,19.0324814483899,5.000000031500826,0.7051574475752671
cap_and_trade,0.8275862068965517,0.8742458633568542,2.240584675272277,301.8542769726391,839.3751107806593,2.7807295599682442,16.331024832390696,7.5373646556684495,nan
strict_cap,0.8275862068965517,1.5238342831415705,3.4104673881859195,302.8224557695332,881.0347673586733,2.90941028504569,19.05990570224461,5.000000060129665,0.7095474645433951
cap_and_trade,1.0344827586206897,0.8404081164772305,2.168081448311288,302.2428428775634,839.9151853809251,2.778941520614168,16.347321917604084,7.616159255828981,nan
strict_cap,1.0344827586206897,1.5159078750524717,3.398735282334365,303.5159330506907,882.9305286749086,2.9090088279729582,19.087247937212112,4.999999962752828,0.7139760900628717
cap_and_trade,1.2413793103448276,0.8055087030884601,2.092103973889754,302.59709458827695,840.4072636286472,2.7773143848989417,16.363060660384516,7.697868990012909,nan
strict_cap,1.2413793103448276,1.5079647609522984,3.3869154227199343,304.20444673165235,884.828491745366,2.908663897756561,19.114507617137207,5.000000088531824,0.7184436544964525
cap_and_trade,1.4482758620689655,0.7694902618038608,2.0124131539060954,302.9145293953123,840.8479562114292,2.7758587806598674,16.37821612234928,7.782693473944448,nan
strict_cap,1.4482758620689655,1.5000059467633384,3.3750089201273257,304.88794395328785,886.7286622198548,2.9083756173570157,19.14168493724907,4.999999764441536,0.7229504675256543
cap_and_trade,1.6551724137931034,0.7322893207733615,1.928744137660729,303.1924040899212,841.2335382600093,2.7745864570225685,16.3927615050885,7.870854167016439,nan
strict_cap,1.6551724137931034,1.4920313761886517,3.363015314800254,305.5663701762211,888.631033304708,2.908144089260319,19.168778823456304,5.00000007718203,0.7274967939259053
cap_and_trade,1.8620689655172413,0.6938375873336086,1.840807463202364,303.42771044872165,841.5599138657944,2.7735104108364403,16.406667957026084,7.962592817605896,nan
strict_cap,1.8620689655172413,1.4840419086245458,3.350935532596645,306.2396730606972,890.5356255934497,2.9079694890379018,19.19578959884973,5.000000176107764,0.7320830233370067
cap_and_trade,2.0689655172413794,0.6540600101438944,1.7482827819969673,303.6171367903386,841.8225608456175,2.772645081054612,16.41990435333754,8.058177094965206,nan
strict_cap,2.0689655172413794,1.476038376476487,3.3387704850137894,306.90780100347683,892.4424280226705,2.9078518861518297,19.222717040723623,4.999999970871929,0.7367093879928865
cap_and_trade,2.2758620689655173,0.6128744227201997,1.65081573914829,303.75702892357884,842.0164741292712,2.7720065511343646,16.43243704408757,8.157903049518296,nan
strict_cap,2.2758620689655173,1.468020809686243,3.3265198802228033,307.5707004170588,894.3514486571843,2.907791436064828,19.249560447002196,5.000000018382887,0.7413762342695999
cap_and_trade,2.4827586206896552,0.5701910457599336,1.5480142229473977,303.8433456569729,842.1361009066972,2.771612783178854,16.44422956466608,8.262098107835577,nan
strict_cap,2.4827586206896552,1.4599901301356144,3.314184800360139,308.22832088365277,896.2626817593449,2.9077882239693933,19.2763198040568,4.999999937191158,0.7460838227229052
cap_and_trade,2.689655172413793,0.525909781381761,1.4394387950687773,303.8715940005298,842.1752467319235,2.771483953615142,16.4552423012274,8.3711295486346,nan
strict_cap,2.689655172413793,1.4519465843889188,3.3017653112074323,308.8806101473855,898.1761358876398,2.907842403765863,19.302994662424293,4.999999934252907,0.750832502864922
cap_and_trade,2.896551724137931,0.47992137696290027,1.3246018668557178,303.83677782123726,842.1269991087697,2.7716427390637883,16.46543210207038,8.485404436338625,nan
strict_cap,2.896551724137931,1.4438908792603342,3.289262202175412,309.5275181028529,900.0917978790651,2.9079540436206823,19.329584698151937,5.000000043605482,0.7556225072779167
cap_and_trade,3.103448275862069,0.43210296946972415,1.202952420296896,303.7333006147145,841.9835859731755,2.77211482662295,16.47475182361135,8.605383251548933,nan
strict_cap,3.103448275862069,1.4358235801391912,3.2766760637757115,310.1689946806832,902.0096762163464,2.9081232866133475,19.356089814124367,4.99999999850661,0.7604541802528446
cap_and_trade,3.310344827586207,0.38231697366069783,1.0738677868075563,303.55487267356983,841.7362382712096,2.7729294241189053,16.483149796611325,8.731586511423684,nan
strict_cap,3.310344827586207,1.4277449948829606,3.2640070994422095,310.8049890188432,903.9297668334827,2.908350247809826,19.38250945806452,5.00000013210994,0.7653278155828506
cap_and_trade,3.5172413793103448,0.33041124097869634,0.936647928853548,303.29441685320904,841.3750479735763,2.7741198031376624,16.490569194361314,8.864598834053227,nan
strict_cap,3.5172413793103448,1.4196560486625691,3.251256497735598,311.4354538885873,905.8520615641196,2.908635000458806,19.40884366192758,5.000000009026097,0.7702436668918864
cap_and_trade,3.7241379310344827,0.2762110146316203,0.7904867815929463,302.94388180731164,840.8886942998639,2.775724300102267,16.496947279231495,9.005094407582373,nan
strict_cap,3.7241379310344827,1.411557129083783,3.238424622917723,312.06033997500396,907.7765492515261,2.9089776333776958,19.435091876119976,4.999999953548572,0.77520199401124
cap_and_trade,3.9310344827586206,0.21951950028625491,0.6344640953558013,302.4941002369159,840.2642276095931,2.777787159985901,16.502214496804367,9.153842630259778,nan
strict_cap,3.9310344827586206,1.4034484077025215,3.225511506566193,312.6795969568464,909.7032365742118,2.9093783074684016,19.461253628833504,5.000000180446698,0.7802031568184513
cap_and_trade,4.137931034482759,0.16011059241801628,0.4675140763518248,301.93454100559376,839.4866996477115,2.7803599311685203,16.50629337691942,9.31173516242977,nan
strict_cap,4.137931034482759,1.3953309033275416,3.212518545092198,313.2931801865884,911.6321251687563,2.9098371200605593,19.487329257802273,4.999999866403753,0.7852474560604614
cap_and_trade,4.344827586206897,0.09772411029359955,0.28839733001446083,301.25303667523525,838.5387507689702,2.7835030644784964,16.50909718712715,9.479809174731296,nan
strict_cap,4.344827586206897,1.3872047034999213,3.199445665793612,313.9010397893102,913.563184885171,2.910354121472019,19.513317649841998,5.000000043413297,0.7903350809790255
cap_and_trade,4.551724137931035,0.03205722939515006,0.09565785520720353,300.43540816852936,837.4000418767721,2.7872881128812628,16.51052826436589,9.659283736500747,nan
strict_cap,4.551724137931035,1.3790706442640797,3.186294011856767,314.50313136431356,915.4964208374521,2.9109294297517216,19.5392190473197,5.000000011277697,0.7954663598985312
cap_and_trade,4.758620689655173,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,4.758620689655173,1.3709291360529505,3.173064060119407,315.09940828608546,917.4318202173514,2.9115631324334177,19.565032984658565,4.999999970291356,0.8006415559532674
cap_and_trade,4.9655172413793105,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,4.9655172413793105,1.362780685518968,3.15975645814513,315.68982517147924,919.369366527935,2.9122553000513833,19.59075905837917,5.0000000368692845,0.8058609120566841
cap_and_trade,5.172413793103448,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,5.172413793103448,1.3546257629632898,3.1463718100479325,316.2743369485238,921.3090665648224,2.913006080271296,19.616397208683555,4.999999898960379,0.8111247880470319
cap_and_trade,5.379310344827586,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,5.379310344827586,1.346464719493897,3.132910538060802,316.8528980668098,923.2508934951062,2.9138155248951985,19.641946744557583,5.000000023956254,0.8164333908314758
cap_and_trade,5.586206896551724,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,5.586206896551724,1.3382982586801457,3.1193736614472822,317.4254666604986,925.1948402283207,2.914683720754705,19.667407673779174,5.000000014983106,0.8217870034662476
cap_and_trade,5.793103448275862,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,5.793103448275862,1.3301267953033933,3.105761740118142,317.99199904620167,927.1408953967,2.915610764351319,19.69277965261578,4.999999908520952,0.8271859076866738
cap_and_trade,6.0,0.0,0.0,300.0,836.793017857355,2.789310059524517,16.510695734639086,9.747870319247887,nan
strict_cap,6.0,1.3219506396252994,3.092075172073029,318.55245103243817,929.089029973513,2.9165967078963204,19.71806197510461,5.000000173262398,0.8326303104363021
