policy,p_c,C_cap,Q_star,T_star,G_star,demand,cost,emissions,psi_star
tax,0.5,0.0,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,0.0,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
strict_cap,0.5,0.0,1382.8069994513905,4.609356664837969,2.723391308927309,300.0,26.644068465710163,1.4939161019356106e-11,3.6152154009405533
tax,0.5,1.0344827586206897,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,1.0344827586206897,836.793017857355,2.789310059524517,1.0,300.0,20.74345435532874,7.2478703192478875,nan
strict_cap,0.5,1.0344827586206897,1160.9511799470922,3.869837266490307,2.5471446926155297,300.0,23.713463930895475,1.0344827585497676,2.2082108428311034
tax,0.5,2.0689655172413794,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,2.0689655172413794,836.793017857355,2.789310059524517,1.0,300.0,20.226212976018395,7.2478703192478875,nan
strict_cap,0.5,2.0689655172413794,1027.4031474162575,3.4246771580541915,2.319476180291649,300.0,21.85001454037856,2.068965509276998,1.4694562791770693
tax,0.5,3.1034482758620694,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,3.1034482758620694,836.793017857355,2.789310059524517,1.0,300.0,19.70897159670805,7.2478703192478875,nan
strict_cap,0.5,3.1034482758620694,947.4443107989778,3.158147702663259,2.0568415835782368,300.0,20.561361873881484,3.1034482725048953,1.060267270681724
tax,0.5,4.137931034482759,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,4.137931034482759,836.793017857355,2.789310059524517,1.0,300.0,19.191730217397705,7.2478703192478875,nan
strict_cap,0.5,4.137931034482759,899.2901353747793,2.9976337845825975,1.782026586920528,300.0,19.5986069306612,4.1379310461510626,0.8210359842516125
tax,0.5,5.172413793103448,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,5.172413793103448,836.793017857355,2.789310059524517,1.0,300.0,18.674488838087363,7.2478703192478875,nan
strict_cap,0.5,5.172413793103448,869.3714188921648,2.8979047296405493,1.510781191467326,300.0,18.832177785248913,5.172413793708979,0.67149299637526
tax,0.5,6.206896551724139,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,6.206896551724139,836.793017857355,2.789310059524517,1.0,300.0,18.157247458777015,7.2478703192478875,nan
strict_cap,0.5,6.206896551724139,849.969019530336,2.83323006510112,1.2500040086232558,300.0,18.19246244134642,6.206896537446567,0.5714298803697757
tax,0.5,7.241379310344828,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,7.241379310344828,836.793017857355,2.789310059524517,1.0,300.0,17.640006079466673,7.2478703192478875,nan
strict_cap,0.5,7.241379310344828,836.8609913825376,2.789536637941792,1.001520405940501,300.0,17.640007313649114,7.241379310344842,0.5003803906592342
tax,0.5,8.275862068965518,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,8.275862068965518,836.793017857355,2.789310059524517,1.0,300.0,17.122764700156328,7.2478703192478875,nan
strict_cap,0.5,8.275862068965518,827.702803331718,2.7590093444390598,0.7650372536380443,300.0,17.151001356048848,8.27586206219,0.4474347510390442
tax,0.5,9.310344827586208,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,9.310344827586208,836.793017857355,2.789310059524517,1.0,300.0,16.605523320845982,7.2478703192478875,nan
strict_cap,0.5,9.310344827586208,821.1391418243129,2.7371304727477095,0.5395554022663944,300.0,16.71018951766069,9.310344841833901,0.4064306105169497
tax,0.5,10.344827586206897,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,10.344827586206897,836.793017857355,2.789310059524517,1.0,300.0,16.088281941535637,7.2478703192478875,nan
strict_cap,0.5,10.344827586206897,816.3495803848307,2.7211652679494356,0.3239362200805247,300.0,16.307278321432246,10.344827586199346,0.37368317134432827
tax,0.5,11.379310344827587,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,11.379310344827587,836.793017857355,2.789310059524517,1.0,300.0,15.571040562225292,7.2478703192478875,nan
strict_cap,0.5,11.379310344827587,812.8151500064129,2.7093838333547096,0.1171048235861929,300.0,15.935013185351817,11.379310395895311,0.34687352082081435
tax,0.5,12.413793103448278,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,12.413793103448278,836.793017857355,2.789310059524517,1.0,300.0,15.053799182914947,7.2478703192478875,nan
strict_cap,0.5,12.413793103448278,808.9939525276526,2.6966465084255087,0.0,300.0,15.590621427488099,12.413793107760501,0.31304005626976633
tax,0.5,13.448275862068966,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,13.448275862068966,836.793017857355,2.789310059524517,1.0,300.0,14.536557803604602,7.2478703192478875,nan
strict_cap,0.5,13.448275862068966,805.6979710499415,2.685659903499805,0.0,300.0,15.288463131234543,13.448275860983996,0.2729197995129786
tax,0.5,14.482758620689657,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,14.482758620689657,836.793017857355,2.789310059524517,1.0,300.0,14.019316424294257,7.2478703192478875,nan
strict_cap,0.5,14.482758620689657,804.4096272684111,2.681365424228037,0.0,300.0,15.022912768032086,14.482758605948778,0.241693394310987
tax,0.5,15.517241379310345,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,15.517241379310345,836.793017857355,2.789310059524517,1.0,300.0,13.502075044983913,7.2478703192478875,nan
strict_cap,0.5,15.517241379310345,804.4811601925878,2.681603867308626,0.0,300.0,14.786290582991839,15.517241376728993,0.21663905660156949
tax,0.5,16.551724137931036,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,16.551724137931036,836.793017857355,2.789310059524517,1.0,300.0,12.984833665673568,7.2478703192478875,nan
strict_cap,0.5,16.551724137931036,805.5062210595837,2.685020736865279,0.0,300.0,14.573164531145231,16.551724137892453,0.1960390420755762
tax,0.5,17.586206896551726,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,17.586206896551726,836.793017857355,2.789310059524517,1.0,300.0,12.467592286363223,7.2478703192478875,nan
strict_cap,0.5,17.586206896551726,807.2195568704848,2.690731856234949,0.0,300.0,14.37955129907946,17.586206895115094,0.17876022818899942
tax,0.5,18.620689655172416,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,18.620689655172416,836.793017857355,2.789310059524517,1.0,300.0,11.950350907052878,7.2478703192478875,nan
strict_cap,0.5,18.620689655172416,809.4419288687558,2.6981397628958526,0.0,300.0,14.202440780584391,18.620689664428564,0.16402628548951612
tax,0.5,19.655172413793103,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,19.655172413793103,836.793017857355,2.789310059524517,1.0,300.0,11.433109527742534,7.2478703192478875,nan
strict_cap,0.5,19.655172413793103,812.0485574351916,2.706828524783972,0.0,300.0,14.039500156704165,19.655172413438066,0.1512878184006918
tax,0.5,20.689655172413794,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,20.689655172413794,836.793017857355,2.789310059524517,1.0,300.0,10.915868148432189,7.2478703192478875,nan
strict_cap,0.5,20.689655172413794,814.9503161469546,2.716501053823182,0.0,300.0,13.888882413346018,20.68965511741943,0.14014506137082872
tax,0.5,21.724137931034484,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,21.724137931034484,836.793017857355,2.789310059524517,1.0,300.0,10.398626769121844,7.2478703192478875,nan
strict_cap,0.5,21.724137931034484,818.0821164551668,2.7269403881838894,0.0,300.0,13.749098163403957,21.724137931034605,0.1303000521002901
tax,0.5,22.758620689655174,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,22.758620689655174,836.793017857355,2.789310059524517,1.0,300.0,9.881385389811498,7.2478703192478875,nan
strict_cap,0.5,22.758620689655174,821.3954985393623,2.7379849951312076,0.0,300.0,13.6189273651832,22.758620689669463,0.12152602306368909
tax,0.5,23.793103448275865,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,23.793103448275865,836.793017857355,2.789310059524517,1.0,300.0,9.364144010501153,7.2478703192478875,nan
strict_cap,0.5,23.793103448275865,824.853772622445,2.74951257540815,0.0,300.0,13.497356743293473,23.79310344834117,0.11364720169548932
tax,0.5,24.827586206896555,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,24.827586206896555,836.793017857355,2.789310059524517,1.0,300.0,8.846902631190808,7.2478703192478875,nan
strict_cap,0.5,24.827586206896555,828.4287474967954,2.761429158322651,0.0,300.0,13.383534591066686,24.827586206969727,0.10652513189564211
tax,0.5,25.862068965517242,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,25.862068965517242,836.793017857355,2.789310059524517,1.0,300.0,8.329661251880465,7.2478703192478875,nan
strict_cap,0.5,25.862068965517242,832.0984793938629,2.773661597979543,0.0,300.0,13.276737359279146,25.86206895884252,0.10004918245620577
tax,0.5,26.896551724137932,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,26.896551724137932,836.793017857355,2.789310059524517,1.0,300.0,7.8124198725701195,7.2478703192478875,nan
strict_cap,0.5,26.896551724137932,835.8456908373147,2.786152302791049,0.0,300.0,13.176344540626715,26.89655172177026,0.09412982184250325
tax,0.5,27.931034482758623,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,27.931034482758623,836.793017857355,2.789310059524517,1.0,300.0,7.295178493259774,7.2478703192478875,nan
strict_cap,0.5,27.931034482758623,839.6566394203614,2.798855464734538,0.0,300.0,13.081819492182333,27.931034482109943,0.08869376208509688
tax,0.5,28.965517241379313,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,28.965517241379313,836.793017857355,2.789310059524517,1.0,300.0,6.777937113949429,7.2478703192478875,nan
strict_cap,0.5,28.965517241379313,843.5202956210792,2.8117343187369306,0.0,300.0,12.992694564618711,28.965517241248648,0.08368039093653121
tax,0.5,30.0,836.793017857355,2.789310059524517,1.0,300.0,21.260695734639086,7.2478703192478875,nan
cap_and_trade,0.5,30.0,836.793017857355,2.789310059524517,1.0,300.0,6.260695734639086,7.2478703192478875,nan
strict_cap,0.5,30.0,847.427735894093,2.8247591196469766,0.0,300.0,12.908559433039516,29.999999999982364,0.07903911037061116
