policy,p_c,C_cap,Q_star,T_star,G_star,demand,cost,emissions,psi_star
tax,0.0,10.0,1034.1690215935696,3.4472300719785656,0.0,300.0,11.603519105135225,76.96271452514951,nan
cap_and_trade,0.0,10.0,1034.1690215935696,3.4472300719785656,0.0,300.0,11.603519105135225,76.96271452514951,nan
strict_cap,0.0,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,0.1724137931034483,10.0,808.0820870794848,2.693606956931616,0.0,300.0,17.410317271217398,18.012637898621207,nan
cap_and_trade,0.1724137931034483,10.0,808.0820870794848,2.693606956931616,0.0,300.0,15.686179340182916,18.012637898621207,nan
strict_cap,0.1724137931034483,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,0.3448275862068966,10.0,812.562212097515,2.708540706991717,0.10000000000000009,300.0,19.858824130520837,11.46671896765408,nan
cap_and_trade,0.3448275862068966,10.0,812.562212097515,2.708540706991717,0.10000000000000009,300.0,16.410548268451873,11.46671896765408,nan
strict_cap,0.3448275862068966,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,0.5172413793103449,10.0,839.9006199344718,2.799668733114906,1.0666666666666669,300.0,21.38318862319937,6.965141298267342,nan
cap_and_trade,0.5172413793103449,10.0,839.9006199344718,2.799668733114906,1.0666666666666669,300.0,16.21077483009592,6.965141298267342,nan
strict_cap,0.5172413793103449,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,0.6896551724137931,10.0,872.9655751865714,2.9098852506219046,1.55,300.0,22.397968257953888,5.020685181421751,nan
cap_and_trade,0.6896551724137931,10.0,872.9655751865714,2.9098852506219046,1.55,300.0,15.501416533815956,5.020685181421751,nan
strict_cap,0.6896551724137931,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,0.8620689655172414,10.0,907.5680444296472,3.0252268147654906,1.84,300.0,23.161243147940333,3.919997891764422,nan
cap_and_trade,0.8620689655172414,10.0,907.5680444296472,3.0252268147654906,1.84,300.0,14.540553492767918,3.919997891764422,nan
strict_cap,0.8620689655172414,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.0344827586206897,10.0,942.2831373006353,3.1409437910021176,2.033333333333333,300.0,23.770684534455647,3.1926389724949455,nan
cap_and_trade,1.0344827586206897,10.0,942.2831373006353,3.1409437910021176,2.033333333333333,300.0,13.42585694824875,3.1926389724949455,nan
strict_cap,1.0344827586206897,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.206896551724138,10.0,976.5507172959803,3.255169057653268,2.1714285714285713,300.0,24.27335183057867,2.6629457802287435,nan
cap_and_trade,1.206896551724138,10.0,976.5507172959803,3.255169057653268,2.1714285714285713,300.0,12.20438631333729,2.6629457802287435,nan
strict_cap,1.206896551724138,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.3793103448275863,10.0,1010.1416664503839,3.3671388881679465,2.275,300.0,24.69567268184301,2.25153550118612,nan
cap_and_trade,1.3793103448275863,10.0,1010.1416664503839,3.3671388881679465,2.275,300.0,10.902569233567148,2.25153550118612,nan
strict_cap,1.3793103448275863,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.5517241379310347,10.0,1042.9697107360573,3.4765657024535246,2.3555555555555556,300.0,25.054155227839704,1.9174386243391348,nan
cap_and_trade,1.5517241379310347,10.0,1042.9697107360573,3.4765657024535246,2.3555555555555556,300.0,9.536913848529357,1.9174386243391348,nan
strict_cap,1.5517241379310347,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.7241379310344829,10.0,1075.014727067247,3.58338242355749,2.42,300.0,25.359944280979686,1.6373195001587444,nan
cap_and_trade,1.7241379310344829,10.0,1075.014727067247,3.58338242355749,2.42,300.0,8.118564970634857,1.6373195001587444,nan
strict_cap,1.7241379310344829,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,1.896551724137931,10.0,1106.2882417952453,3.687627472650818,2.4727272727272727,300.0,25.621016846547924,1.3968344113860791,nan
cap_and_trade,1.896551724137931,10.0,1106.2882417952453,3.687627472650818,2.4727272727272727,300.0,6.655499605168615,1.3968344113860791,nan
strict_cap,1.896551724137931,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.0689655172413794,10.0,1136.8168066107287,3.789389355369096,2.5166666666666666,300.0,25.843345429342584,1.186617606868409,nan
cap_and_trade,2.0689655172413794,10.0,1136.8168066107287,3.789389355369096,2.5166666666666666,300.0,5.15369025692879,1.186617606868409,nan
strict_cap,2.0689655172413794,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.241379310344828,10.0,1166.6336073846194,3.8887786912820648,2.5538461538461537,300.0,26.03156242200923,1.000247745684776,nan
cap_and_trade,2.241379310344828,10.0,1166.6336073846194,3.8887786912820648,2.5538461538461537,300.0,3.6177693185609527,1.000247745684776,nan
strict_cap,2.241379310344828,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.413793103448276,10.0,1195.7741098173801,3.9859136993912667,2.585714285714286,300.0,26.189363358931544,0.8331425150758731,nan
