p_c,a,G_star,R_star,gross_emissions,net_emissions,share_R_over_gross,Q_star,T_star,cost
0.0,0.1,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,0.3041666666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,0.5083333333333334,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,0.7125,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,0.9166666666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,1.1208333333333336,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,1.3250000000000002,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,1.529166666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,1.7333333333333336,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,1.9375000000000002,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,2.141666666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,2.3458333333333337,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,2.5500000000000003,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,2.754166666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,2.958333333333334,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,3.1625000000000005,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,3.366666666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,3.5708333333333337,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,3.7750000000000004,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,3.9791666666666674,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,4.183333333333334,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,4.3875,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,4.591666666666667,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,4.795833333333333,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.0,5.0,0.0,0.0,76.96271452514951,76.96271452514951,0.0,1034.1690215935696,3.4472300719785656,11.603519105135225
0.20833333333333334,0.1,0.0,0.0,15.91153856483914,15.91153856483914,0.0,804.776192106364,2.682587307021213,15.934098273395614
0.20833333333333334,0.3041666666666667,0.0,0.0,15.91153856483914,15.91153856483914,0.0,804.776192106364,2.682587307021213,15.934098273395614
0.20833333333333334,0.5083333333333334,0.0,0.0,15.91153856483914,15.91153856483914,0.0,804.776192106364,2.682587307021213,15.934098273395614
0.20833333333333334,0.7125,0.0,0.0,15.91153856483914,15.91153856483914,0.0,804.776192106364,2.682587307021213,15.934098273395614
0.20833333333333334,0.9166666666666667,0.0,0.0,15.91153856483914,15.91153856483914,0.0,804.776192106364,2.682587307021213,15.934098273395614
