policy,n,Q_star,T_star,B_star,x_star,G_star,demand,cost,emissions,psi_star
tax,0.3,699.0582022256602,2.3301940074188674,150.19405512702068,0.21485200323640166,1.0,300.0,25.49892897714629,12.258201759979322,nan
cap_and_trade,0.3,699.0582022256602,2.3301940074188674,150.19405512702068,0.21485200323640166,1.0,300.0,20.49892897714629,12.258201759979322,nan
strict_cap,0.3,708.1686220543611,2.360562073514537,163.19812166051736,0.23045093580549775,1.3576679480474811,300.0,20.612758544396083,10.000000024276584,0.6088902660160168
tax,0.4620689655172414,721.1885783309646,2.403961927769882,178.66516417425976,0.2477370961527729,1.0,300.0,24.708797935565077,10.496942097248192,nan
cap_and_trade,0.4620689655172414,721.1885783309646,2.403961927769882,178.66516417425976,0.2477370961527729,1.0,300.0,19.708797935565077,10.496942097248192,nan
strict_cap,0.4620689655172414,723.7249394714291,2.412416464904764,181.3428730209506,0.2505687770735025,1.0891976383536317,300.0,19.7144949434513,10.000000000000076,0.5233403621808322
tax,0.6241379310344828,747.8971184814952,2.4929903949383174,197.6984544095056,0.26433910430208074,1.0,300.0,23.817481415821785,9.460434362276352,nan
cap_and_trade,0.6241379310344828,747.8971184814952,2.4929903949383174,197.6984544095056,0.26433910430208074,1.0,300.0,18.817481415821785,9.460434362276352,nan
strict_cap,0.6241379310344828,744.851146278211,2.4828371542607033,194.91846006566792,0.2616878030457692,0.8962001165506766,300.0,18.82426935958532,10.000000071723203,0.475330380929783
tax,0.7862068965517242,772.5017625687451,2.5750058752291505,211.7814320713269,0.2741500956154523,1.0,300.0,23.050917709424866,8.770840710207708,nan
cap_and_trade,0.7862068965517242,772.5017625687451,2.5750058752291505,211.7814320713269,0.2741500956154523,1.0,300.0,18.050917709424866,8.770840710207708,nan
strict_cap,0.7862068965517242,765.1573539033592,2.5505245130111973,205.64245323449543,0.2687583830769383,0.7532451654526731,300.0,18.086230076590812,9.999999995685805,0.44508639065707345
tax,0.9482758620689655,793.1787077436533,2.6439290258121777,222.4822317413,0.2804944580196722,1.0,300.0,22.443498733979418,8.285899349946,nan
cap_and_trade,0.9482758620689655,793.1787077436533,2.6439290258121777,222.4822317413,0.2804944580196722,1.0,300.0,17.443498733979418,8.285899349946,nan
